nest,NDVI,NDWI,Mat_Gland,Mat_Head,Mat_Birth,Mat_Age,Mat_Cort,Pat_Gland,Pat_Head,Pat_Birth,Pat_Age,Pat_Cort,Mean_Gland,Mean_Head,Mean_Age,Mean_Cort,BLUP,BLUP_25,latitude,longitude,first_egg_date,parents,Bird_FID,FID_m,FID_time,Repetition,Zone,Note_,Note_time,SD_m,SD_time,note_,note_time,Date,Time,Year,gull10m,height_m,dist_shore_m,dist_shore_m_new,distMOD,Egg1,Egg2,Egg3,Egg4,TotEgg,EggHatched,2nd_clutch,ProbaChick,HatchSucc,ClutchMass,Chick1,Chick2,Chick3,Chick4,ChickNmass,Count_ALL_nests,Count_Larcan_nests,Distance_coast,Count_ALL_nests_Hannah,Count_Larcan_nests_Hannah
588_23,0.743243019,0.546666662,,,,,,,,,,,,,,,,,58.7672862,23.4295732,08/05/2023,,,13,,7,Head,,,30,,,,25/05/2023,12:48:00,2023,0.052051065,0.71,39.49941311,#N/A,19.49941311,52.8,52.2,48.5,,3,3,,1,1,153.5,39.4,40.3,36.6,,116.3,6,4,38.08,10,8
588_23,0.743243019,0.546666662,,,,,,,,,,,,,,,,,58.7672862,23.4295732,08/05/2023,,,6,,8,Head,,,24,,,,26/05/2023,12:10:00,2023,0.052051065,0.71,39.49941311,#N/A,19.49941311,52.8,52.2,48.5,,3,3,,1,1,153.5,39.4,40.3,36.6,,116.3,6,4,38.08,10,8
643_23,0.634565771,0.379999995,,,,,,,,,,,,,,,-5.4497774,-4.660749358,58.7656894,23.4356992,08/05/2023,,,14,,1,North,,,,,,,19/05/2023,16:37:00,2023,0.068834919,0.56,40.08255991,#N/A,20.08255991,52.6,,,,1,0,,0,0,52.6,36.6,36.6,,,73.2,2,2,33.49,4,4
643_23,0.634565771,0.379999995,,,,,,,,,,,,,,,,,58.7656894,23.4356992,08/05/2023,,,12,,2,North,,,44,,,,20/05/2023,11:01:00,2023,0.068834919,0.56,40.08255991,#N/A,20.08255991,52.6,,,,1,2,,1,0.666666667,52.6,36.6,36.6,,,73.2,2,2,33.49,4,4
643_23,0.634565771,0.379999995,,,,,,,,,,,,,,,,,58.7656894,23.4356992,08/05/2023,,,4,,3,North,,,42,,,,20/05/2023,11:36:00,2023,0.068834919,0.56,40.08255991,#N/A,20.08255991,52.6,,,,1,2,,1,0.666666667,52.6,36.6,36.6,,,73.2,2,2,33.49,4,4
643_23,0.634565771,0.379999995,,,,,,,,,,,,,,,,,58.7656894,23.4356992,08/05/2023,,,26,,4,North,,,40,,,,21/05/2023,12:45:00,2023,0.068834919,0.56,40.08255991,#N/A,20.08255991,52.6,,,,1,2,,1,0.666666667,52.6,36.6,36.6,,,73.2,2,2,33.49,4,4
643_23,0.634565771,0.379999995,,,,,,,,,,,,,,,,,58.7656894,23.4356992,08/05/2023,,,6,,5,North,,,30,,,,22/05/2023,15:58:00,2023,0.068834919,0.56,40.08255991,#N/A,20.08255991,52.6,,,,1,2,,1,0.666666667,52.6,36.6,36.6,,,73.2,2,2,33.49,4,4
643_23,0.634565771,0.379999995,,,,,,,,,,,,,,,,,58.7656894,23.4356992,08/05/2023,,,6,,6,North,,,34,,,,23/05/2023,10:54:00,2023,0.068834919,0.56,40.08255991,#N/A,20.08255991,52.6,,,,1,2,,1,0.666666667,52.6,36.6,36.6,,,73.2,2,2,33.49,4,4
643_23,0.634565771,0.379999995,,,,,,,,,,,,,,,,,58.7656894,23.4356992,08/05/2023,,,9,,7,North,,,42,,,,24/05/2023,12:18:00,2023,0.068834919,0.56,40.08255991,#N/A,20.08255991,52.6,,,,1,2,,1,0.666666667,52.6,36.6,36.6,,,73.2,2,2,33.49,4,4
643_23,0.634565771,0.379999995,,,,,,,,,,,,,,,,,58.7656894,23.4356992,08/05/2023,,,5,,8,North,,,29,,,,25/05/2023,11:08:00,2023,0.068834919,0.56,40.08255991,#N/A,20.08255991,52.6,,,,1,2,,1,0.666666667,52.6,36.6,36.6,,,73.2,2,2,33.49,4,4
643_23,0.634565771,0.379999995,,,,,,,,,,,,,,,,,58.7656894,23.4356992,08/05/2023,,,7,,9,North,,,22,,,,26/05/2023,14:15:00,2023,0.068834919,0.56,40.08255991,#N/A,20.08255991,52.6,,,,1,2,,1,0.666666667,52.6,36.6,36.6,,,73.2,2,2,33.49,4,4
646_23,0.771369025,0.604999989,,,,,,,,,,,,,,,-1.6833433,-0.779853777,58.7665535,23.4324071,08/05/2023,,,19,,1,Middle,,,34,,,,19/05/2023,15:33:00,2023,0.052176557,0.8,39.15087174,#N/A,19.15087174,53.6,53.9,51.1,,3,3,,1,1,158.6,36.5,39.4,35.3,,111.2,7,7,28.94,9,8
646_23,0.771369025,0.604999989,,,,,,,,,,,,,,,,,58.7665535,23.4324071,08/05/2023,,,18,,2,Middle,,,30,,,,21/05/2023,15:06:00,2023,0.052176557,0.8,39.15087174,#N/A,19.15087174,53.6,53.9,51.1,,3,3,,1,1,158.6,36.5,39.4,35.3,,111.2,7,7,28.94,9,8
646_23,0.771369025,0.604999989,,,,,,,,,,,,,,,,,58.7665535,23.4324071,08/05/2023,,,9,,3,Middle,,,31,,,,21/05/2023,11:28:00,2023,0.052176557,0.8,39.15087174,#N/A,19.15087174,53.6,53.9,51.1,,3,3,,1,1,158.6,36.5,39.4,35.3,,111.2,7,7,28.94,9,8
646_23,0.771369025,0.604999989,,,,,,,,,,,,,,,,,58.7665535,23.4324071,08/05/2023,,,25,,4,Middle,,,37,,,,22/05/2023,12:47:00,2023,0.052176557,0.8,39.15087174,#N/A,19.15087174,53.6,53.9,51.1,,3,3,,1,1,158.6,36.5,39.4,35.3,,111.2,7,7,28.94,9,8
